Table: Green area per capita ,,,,,,,,,,,,,,,,
Variable,,Green area per capita (square meters per capita) ,,,,,,,,,,,,,,
Year,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
  Leipzig,,304.17,304.17,304.17,304.17,304.17,304.17,304.17,304.17,304.17,304.17,304.17,304.17,304.17,304.17,304.17
  Dresden,,430.82,430.82,430.82,430.82,430.82,430.82,430.82,430.82,430.82,430.82,430.82,430.82,430.82,430.82,430.82
  Dortmund,,53.02,53.02,53.02,53.02,53.02,53.02,53.02,53.02,53.02,53.02,53.02,53.02,53.02,53.02,53.02
  Düsseldorf,,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.85,76.84,76.85,76.84,76.85,76.85,76.85
  Bremen,,1460.11,1460.11,1460.11,1460.11,1460.11,1460.11,1460.11,1460.11,1460.11,1460.11,1460.11,1460.11,1460.11,1460.1,1460.11
  Hanover,,685.19,685.19,685.19,685.19,685.19,685.19,685.19,685.19,685.2,685.19,685.19,685.19,685.19,685.19,685.19
  Nuremberg,,792.52,792.52,792.52,792.52,792.52,792.52,792.52,792.52,792.52,792.52,792.52,792.52,792.52,792.51,792.52
  Bochum,,17.82,17.82,17.82,17.82,17.82,17.81,17.82,17.82,17.82,17.81,17.82,17.82,17.82,17.82,17.81
  Freiburg im Breisgau,,311.68,311.69,311.68,311.69,311.69,311.68,311.68,311.68,311.68,311.69,311.68,311.68,311.68,311.68,311.68
  Augsburg,,446.71,446.71,446.7,446.7,446.7,446.7,446.7,446.71,446.7,446.7,446.71,446.7,446.71,446.71,446.71
  Bonn,,86.51,86.51,86.51,86.51,86.51,86.51,86.51,86.5,86.51,86.51,86.51,86.51,86.51,86.51,86.51
  Karlsruhe,,153.05,153.05,153.05,153.05,153.05,153.05,153.05,153.05,153.05,153.05,153.05,153.05,153.05,153.05,153.05
  Saarbrücken,,189.55,189.54,189.54,189.55,189.54,189.54,189.54,189.54,189.54,189.54,189.54,189.54,189.54,189.55,189.54
  Duisburg,,101.54,101.54,101.54,101.53,101.54,101.53,101.54,101.53,101.53,101.53,101.53,101.54,101.54,101.53,101.53
  Mannheim,,103.47,103.47,103.46,103.46,103.47,103.47,103.47,103.46,103.47,103.46,103.47,103.47,103.47,103.47,103.47
  Münster,,499.29,499.3,499.29,499.3,499.3,499.29,499.3,499.3,499.29,499.29,499.29,499.3,499.29,499.29,499.29
  Aachen,,143.39,143.39,143.39,143.39,143.39,143.39,143.39,143.39,143.39,143.39,143.39,143.39,143.39,143.39,143.39
Denmark,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Copenhagen,,761.82,761.82,761.82,761.82,761.82,761.83,761.83,761.82,761.83,761.83,761.82,761.81,761.83,761.83,761.83
Estonia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Tallinn,,779.43,779.43,779.43,779.42,779.43,779.42,779.42,779.42,779.42,779.42,779.43,779.43,779.43,779.43,779.43
Spain,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Madrid,,171.5,171.54,171.53,171.53,171.54,171.49,171.52,171.5,171.5,171.51,171.54,171.52,171.52,171.48,171.53
  Barcelona,,8.81,8.8,8.79,8.79,8.81,8.8,8.79,8.82,8.81,8.8,8.78,8.81,8.8,8.78,8.81
  Valencia,,23.83,23.83,23.82,23.82,23.82,23.82,23.82,23.83,23.83,23.83,23.82,23.83,23.83,23.82,23.82
  Seville,,19.75,19.74,19.75,19.74,19.75,19.75,19.75,19.75,19.75,19.75,19.75,19.74,19.75,19.75,19.75
  Zaragoza,,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.58,46.59
  Málaga,,23.18,23.18,23.19,23.19,23.18,23.19,23.18,23.18,23.19,23.18,23.19,23.18,23.18,23.19,23.18
  Las Palmas,,54.95,54.95,54.96,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.95,54.96,54.95,54.95
  Bilbao,,210.36,210.37,210.37,210.36,210.37,210.36,210.37,210.37,210.36,210.37,210.36,210.37,210.37,210.36,210.36
Finland,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Helsinki,,115.91,115.92,115.92,115.92,115.91,115.92,115.92,115.92,115.91,115.92,115.92,115.91,115.92,115.92,115.92
France,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Paris,,1070.47,1070.47,1070.48,1070.5,1070.53,1070.45,1070.5,1070.45,1070.53,1070.51,1070.51,1070.54,1070.47,1070.54,1070.53
  Lyon,,924.53,924.53,924.53,924.54,924.53,924.54,924.54,924.53,924.53,924.53,924.54,924.54,924.54,924.54,924.54
  Marseille,,82.65,82.64,82.64,82.64,82.64,82.64,82.64,82.64,82.64,82.64,82.65,82.65,82.64,82.65,82.65
