Table: Green area per capita ,,,,,,,,,,,,,,,,
Variable,,Green area per capita (square meters per capita) ,,,,,,,,,,,,,,
Year,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
  Warsaw,,3105.67,3105.7,3105.69,3105.68,3105.68,3105.67,3105.69,3105.69,3105.68,3105.67,3105.69,3105.69,3105.69,3105.69,3105.7
  Katowice,,872.81,872.81,872.8,872.81,872.8,872.81,872.81,872.79,872.81,872.81,872.8,872.79,872.8,872.81,872.79
  Lódz,,395.62,395.62,395.62,395.62,395.62,395.61,395.61,395.61,395.62,395.62,395.62,395.62,395.62,395.61,395.61
  Kraków,,985.5,985.49,985.5,985.49,985.49,985.5,985.49,985.5,985.5,985.5,985.5,985.49,985.49,985.5,985.49
  Wroclaw,,500.59,500.59,500.58,500.59,500.59,500.59,500.58,500.58,500.58,500.58,500.58,500.59,500.58,500.58,500.58
  Poznan,,342.38,342.38,342.38,342.38,342.38,342.38,342.39,342.38,342.39,342.38,342.38,342.38,342.38,342.38,342.38
  Gdansk,,742.29,742.29,742.29,742.29,742.29,742.29,742.29,742.28,742.29,742.29,742.29,742.29,742.29,742.29,742.29
  Lublin,,327.36,327.35,327.36,327.35,327.36,327.35,327.35,327.35,327.35,327.36,327.36,327.35,327.36,327.35,327.35
Portugal,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Lisbon,,183.53,183.54,183.52,183.54,183.52,183.52,183.53,183.54,183.53,183.53,183.52,183.53,183.53,183.54,183.53
  Porto,,87.15,87.15,87.15,87.15,87.15,87.15,87.15,87.15,87.15,87.15,87.15,87.15,87.15,87.16,87.15
Sweden,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Stockholm,,231.4,231.4,231.41,231.39,231.41,231.41,231.41,231.39,231.41,231.4,231.4,231.41,231.41,231.4,231.41
  Gothenburg,,262.53,262.53,262.53,262.52,262.53,262.53,262.52,262.53,262.53,262.53,262.53,262.53,262.52,262.53,262.53
  Malmö,,570.56,570.56,570.56,570.56,570.56,570.56,570.56,570.57,570.56,570.57,570.56,570.56,570.57,570.57,570.57
Slovenia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Ljubljana,,540.51,540.51,540.51,540.51,540.51,540.51,540.51,540.51,540.51,540.51,540.51,540.51,540.51,540.51,540.51
Slovak Republic,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Bratislava,,324.13,324.13,324.14,324.14,324.14,324.14,324.13,324.13,324.13,324.13,324.14,324.14,324.13,324.13,324.13
United Kingdom,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  London,,436.01,435.94,435.96,435.97,435.98,435.97,435.95,435.92,436,435.95,436.01,435.94,435.97,436,436.03
  Birmingham (UK),,270.69,270.69,270.69,270.68,270.68,270.68,270.68,270.68,270.69,270.68,270.68,270.69,270.69,270.68,270.68
  Leeds,,206.72,206.72,206.72,206.72,206.72,206.72,206.72,206.72,206.72,206.72,206.72,206.71,206.71,206.72,206.71
  Bradford,,82.21,82.22,82.22,82.21,82.21,82.21,82.21,82.22,82.21,82.21,82.21,82.22,82.21,82.21,82.21
  Liverpool,,57.96,57.95,57.96,57.96,57.96,57.96,57.96,57.96,57.96,57.96,57.96,57.96,57.96,57.96,57.96
  Manchester,,261.23,261.23,261.24,261.23,261.24,261.25,261.23,261.24,261.24,261.24,261.24,261.23,261.24,261.24,261.24
  Cardiff,,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.19,108.18,108.19,108.19,108.19
  Sheffield,,239.35,239.34,239.34,239.34,239.34,239.34,239.35,239.35,239.34,239.35,239.35,239.34,239.35,239.34,239.34
  Bristol,,95.52,95.52,95.52,95.52,95.52,95.52,95.53,95.52,95.52,95.53,95.52,95.52,95.53,95.53,95.53
  Newcastle,,170.44,170.44,170.44,170.44,170.44,170.44,170.44,170.44,170.44,170.44,170.44,170.44,170.44,170.44,170.44
  Leicester,,206.29,206.29,206.29,206.29,206.28,206.29,206.28,206.28,206.29,206.29,206.29,206.29,206.28,206.29,206.29
  Portsmouth,,52.8,52.81,52.81,52.81,52.81,52.81,52.81,52.81,52.8,52.81,52.81,52.8,52.8,52.81,52.81
  Nottingham,,224.53,224.53,224.53,224.53,224.53,224.54,224.54,224.54,224.53,224.53,224.53,224.53,224.53,224.53,224.53
  Glasgow,,100.03,100.03,100.03,100.04,100.04,100.03,100.03,100.03,100.03,100.03,100.03,100.04,100.03,100.03,100.03
  Edinburgh,,156.27,156.27,156.27,156.27,156.27,156.27,156.27,156.27,156.27,156.27,156.27,156.27,156.27,156.27,156.27
United States,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
  Philadelphia,,1516.57,1516.57,1516.56,1516.56,1516.55,1516.58,1516.57,1516.56,1516.54,1516.57,1516.56,1516.58,1516.56,1516.58,1516.56
  Columbus,,3186.4,3186.4,3186.39,3186.39,3186.4,3186.39,3186.39,3186.39,3186.4,3186.39,3186.39,3186.39,3186.39,3186.39,3186.38
  Denver,,12.66,12.68,12.67,12.66,12.67,12.66,12.67,12.65,12.66,12.67,12.65,12.66,12.67,12.67,12.68
  Portland,,964.25,964.25,964.25,964.25,964.25,964.24,964.24,964.25,964.24,964.25,964.24,964.25,964.25,964.26,964.24
  Baltimore,,1939.66,1939.66,1939.65,1939.65,1939.66,1939.66,1939.65,1939.65,1939.67,1939.66,1939.65,1939.66,1939.66,1939.65,1939.65
  Cincinnati,,6291.65,6291.64,6291.64,6291.64,6291.65,6291.64,6291.64,6291.65,6291.66,6291.64,6291.64,6291.66,6291.65,6291.65,6291.64
  Washington,,5865.77,5865.76,5865.76,5865.74,5865.75,5865.74,5865.77,5865.79,5865.74,5865.75,5865.75,5865.75,5865.75,5865.75,5865.75
  Kansas City,,8672.43,8672.42,8672.42,8672.42,8672.42,8672.43,8672.43,8672.43,8672.43,8672.42,8672.43,8672.43,8672.42,8672.42,8672.43
  Saint Louis (US),,4764.14,4764.14,4764.14,4764.15,4764.14,4764.12,4764.13,4764.12,4764.13,4764.15,4764.12,4764.14,4764.13,4764.14,4764.13
  Sacramento/Roseville,,126.21,126.22,126.22,126.21,126.23,126.23,126.21,126.22,126.21,126.21,126.22,126.21,126.21,126.22,126.22
  Minneapolis,,9833.09,9833.08,9833.08,9833.1,9833.1,9833.09,9833.08,9833.09,9833.08,9833.1,9833.09,9833.09,9833.09,9833.08,9833.09
  San Francisco,,162.29,162.26,162.29,162.25,162.28,162.3,162.25,162.27,162.28,162.29,162.3,162.3,162.3,162.3,162.29
  Los Angeles,,90.13,90.09,90.22,90.19,90.16,90.14,90.11,90.09,90.07,90.23,90.21,90.2,90.2,90.19,90.19
  Atlanta,,466.88,466.89,466.89,466.87,466.88,466.89,466.9,466.87,466.87,466.87,466.87,466.86,466.89,466.87,466.88
  Phoenix,,38.43,38.43,38.44,38.43,38.43,38.42,38.43,38.41,38.41,38.43,38.44,38.42,38.43,38.42,38.43
  Dallas,,895.32,895.33,895.36,895.32,895.33,895.34,895.35,895.33,895.33,895.34,895.35,895.34,895.36,895.35,895.35
  San Diego,,33.26,33.27,33.27,33.27,33.27,33.26,33.28,33.27,33.28,33.27,33.27,33.28,33.28,33.28,33.28
  Houston,,3856.79,3856.76,3856.77,3856.75,3856.79,3856.8,3856.75,3856.78,3856.76,3856.75,3856.79,3856.79,3856.77,3856.76,3856.79
  San Antonio,,294.72,294.72,294.73,294.73,294.73,294.73,294.73,294.73,294.72,294.72,294.72,294.73,294.74,294.73,294.72
  Orlando,,989.8,989.79,989.8,989.79,989.79,989.79,989.8,989.79,989.79,989.78,989.79,989.78,989.79,989.78,989.8
  Miami,,818.09,818.07,818.08,818.06,818.05,818.07,818.05,818.06,818.09,818.09,818.06,818.06,818.08,818.08,818.05
  Seattle,,275.19,275.19,275.2,275.19,275.2,275.18,275.19,275.2,275.2,275.18,275.18,275.2,275.2,275.19,275.2
  Milwaukee,,2475.88,2475.88,2475.88,2475.87,2475.87,2475.88,2475.87,2475.87,2475.88,2475.87,2475.87,2475.87,2475.87,2475.88,2475.87
  Detroit,,2096.98,2096.98,2096.99,2097,2097.01,2097,2097,2097.01,2097,2097.01,2096.99,2096.99,2097.02,2096.99,2096.99
  Boston,,317.04,317.06,317.04,317.06,317.07,317.04,317.05,317.05,317.05,317.05,317.04,317.03,317.06,317.05,317.07
  Chicago,,3970.96,3970.95,3970.97,3970.94,3970.96,3970.96,3970.94,3971.01,3970.99,3970.99,3971.01,3970.99,3970.92,3970.93,3971.01
  Cleveland,,767.4,767.4,767.41,767.41,767.41,767.41,767.4,767.4,767.41,767.41,767.4,767.4,767.41,767.4,767.4
  New York,,658.36,658.28,658.35,658.43,658.34,658.41,658.32,658.39,658.3,658.37,658.43,658.34,658.4,658.3,658.36
  Harrisburg,,2185.01,2185.01,2185.01,2185.01,2185.01,2185.01,2185.01,2185.01,2185.01,2185.01,2185.01,2185.01,2185.01,2185.01,2185.01
  Indianapolis,,1712.11,1712.12,1712.12,1712.12,1712.12,1712.12,1712.12,1712.11,1712.12,1712.12,1712.12,1712.12,1712.12,1712.12,1712.12
  Dayton,,776.63,776.63,776.63,776.63,776.63,776.64,776.64,776.63,776.64,776.63,776.63,776.64,776.63,776.64,776.63
  Colorado Springs,,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.31,10.3,10.3,10.3,10.3,10.3,10.3
  Louisville,,5172.63,5172.63,5172.63,5172.63,5172.63,5172.64,5172.63,5172.63,5172.63,5172.63,5172.62,5172.63,5172.63,5172.64,5172.62
  Wichita,,24.47,24.47,24.47,24.47,24.47,24.47,24.47,24.47,24.47,24.47,24.47,24.47,24.47,24.47,24.47
  Richmond,,107.33,107.33,107.33,107.33,107.33,107.33,107.33,107.33,107.33,107.33,107.33,107.33,107.33,107.33,107.33
  Norfolk-Portsmouth-Chesapeake-Virginia beach,,816.35,816.35,816.35,816.34,816.35,816.34,816.35,816.35,816.35,816.35,816.34,816.35,816.35,816.35,816.35
  Fresno,,87.58,87.58,87.58,87.58,87.58,87.59,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.58,87.58
  Las Vegas,,3.22,3.22,3.22,3.22,3.22,3.22,3.23,3.22,3.22,3.22,3.21,3.22,3.23,3.21,3.21
  Nashville,,5360.46,5360.46,5360.45,5360.46,5360.46,5360.45,5360.45,5360.46,5360.46,5360.45,5360.46,5360.46,5360.46,5360.45,5360.46
  Tulsa,,2050.42,2050.42,2050.42,2050.42,2050.42,2050.42,2050.42,2050.42,2050.42,2050.42,2050.42,2050.42,2050.42,2050.42,2050.42
  Raleigh,,1853.37,1853.36,1853.36,1853.36,1853.36,1853.36,1853.36,1853.36,1853.37,1853.36,1853.36,1853.36,1853.37,1853.36,1853.36
  Oklahoma city,,164.64,164.65,164.64,164.64,164.65,164.65,164.65,164.64,164.64,164.65,164.64,164.64,164.64,164.64,164.65
  Charlotte,,1020.06,1020.06,1020.06,1020.06,1020.05,1020.05,1020.05,1020.06,1020.05,1020.06,1020.06,1020.05,1020.06,1020.06,1020.06
  Albuquerque,,60.75,60.75,60.74,60.75,60.75,60.75,60.75,60.75,60.74,60.75,60.75,60.74,60.75,60.75,60.74
  Memphis,,4058.98,4058.98,4058.98,4058.98,4058.99,4058.99,4058.98,4058.98,4058.99,4058.98,4058.98,4058.98,4058.98,4058.98,4058.98
  Little Rock,,1884.49,1884.49,1884.49,1884.49,1884.49,1884.49,1884.49,1884.49,1884.49,1884.49,1884.49,1884.49,1884.49,1884.49,1884.49
  Columbia,,137.6,137.6,137.6,137.59,137.6,137.6,137.6,137.6,137.59,137.6,137.6,137.59,137.6,137.6,137.6
  Birmingham (US),,1088.1,1088.11,1088.1,1088.11,1088.11,1088.1,1088.1,1088.11,1088.11,1088.11,1088.11,1088.11,1088.1,1088.11,1088.11
  Fort Worth,,45.29,45.29,45.3,45.29,45.3,45.29,45.29,45.29,45.29,45.3,45.3,45.29,45.3,45.29,45.3
  Charleston,,302.89,302.88,302.88,302.88,302.89,302.89,302.88,302.88,302.88,302.88,302.88,302.89,302.88,302.89,302.88
  Tucson,,1.07,1.07,1.07,1.08,1.08,1.07,1.07,1.08,1.07,1.07,1.07,1.07,1.07,1.08,1.07
  El Paso,,3.01,3.01,3.01,3.01,3,3.01,3.01,3,3,3.01,3.01,3.01,3.01,3.01,3
  Baton Rouge,,542.66,542.66,542.66,542.65,542.66,542.66,542.66,542.66,542.66,542.66,542.66,542.65,542.66,542.66,542.65
  Austin,,276.7,276.7,276.7,276.7,276.69,276.7,276.69,276.69,276.69,276.69,276.7,276.69,276.69,276.69,276.7
  Jacksonville,,217.45,217.45,217.45,217.45,217.45,217.45,217.46,217.45,217.45,217.45,217.45,217.44,217.45,217.45,217.45
  New Orleans,,238.92,238.91,238.92,238.92,238.92,238.92,238.91,238.92,238.91,238.92,238.91,238.92,238.92,238.92,238.92
  Clearwater/Saint Petersburg,,384.67,384.67,384.67,384.67,384.67,384.67,384.67,384.66,384.67,384.67,384.68,384.67,384.67,384.68,384.66
  Tampa,,567.77,567.77,567.77,567.77,567.77,567.77,567.77,567.77,567.77,567.78,567.77,567.77,567.77,567.78,567.78
  Mcallen,,108.4,108.4,108.4,108.41,108.4,108.4,108.4,108.4,108.4,108.4,108.41,108.4,108.4,108.4,108.4
  Madison,,2698.26,2698.26,2698.26,2698.26,2698.26,2698.26,2698.26,2698.26,2698.26,2698.26,2698.26,2698.26,2698.26,2698.26,2698.26
  Buffalo,,2640.94,2640.95,2640.95,2640.94,2640.95,2640.95,2640.95,2640.94,2640.95,2640.95,2640.94,2640.95,2640.94,2640.95,2640.94
  Grand Rapids,,1688.72,1688.72,1688.72,1688.72,1688.72,1688.72,1688.72,1688.72,1688.72,1688.72,1688.72,1688.72,1688.72,1688.72,1688.72
  Albany,,1601.78,1601.79,1601.78,1601.78,1601.78,1601.79,1601.78,1601.78,1601.78,1601.78,1601.78,1601.79,1601.78,1601.78,1601.79
  Providence,,103.68,103.68,103.68,103.68,103.68,103.68,103.68,103.68,103.68,103.68,103.68,103.68,103.68,103.68,103.68
  Toledo (US),,253.08,253.08,253.08,253.08,253.08,253.08,253.08,253.08,253.08,253.08,253.08,253.08,253.08,253.08,253.08
  Des Moines,,3023.47,3023.47,3023.47,3023.47,3023.47,3023.47,3023.47,3023.47,3023.47,3023.47,3023.46,3023.47,3023.46,3023.47,3023.47
  Omaha,,638.82,638.83,638.83,638.83,638.82,638.82,638.82,638.82,638.82,638.83,638.83,638.82,638.82,638.82,638.82
  Akron,,696.78,696.78,696.78,696.78,696.78,696.78,696.78,696.78,696.78,696.78,696.78,696.78,696.78,696.78,696.78
  Salt Lake City,,630.24,630.24,630.24,630.24,630.24,630.24,630.24,630.24,630.24,630.23,630.24,630.24,630.23,630.23,630.24
  Pittsburgh,,754.31,754.31,754.31,754.31,754.31,754.32,754.31,754.3,754.31,754.31,754.31,754.31,754.31,754.31,754.3
Data  Source: OECD.Stat,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Note: Green area per capita is calculated from Green area per million people and city population data source from OECD.,,,,,,,,,,,,,,,,
